item,product type,set,cost,sold,show,purchased date,sold date
pikachu,card,crown zenith,56.0,80,guildford card show,2026-04-01 12:00:00,2026-06-20 14:26:00
regidrago,graded card,silver tempest,122.49999999999999,175,vault card show,2026-04-01 12:00:00,2026-06-28 11:57:00
mega charizard,card,promo,45.5,65,vault card show,2026-04-01 12:00:00,2026-06-28 12:01:00
clamprel jp,card,destined,3.5,5,vault card show,2026-04-01 12:00:00,2026-06-28 12:21:00
dark sylveon box,sealed,celebrations,262.5,375,vault card show,2026-04-01 12:00:00,2026-06-28 13:01:00
sunflora,card,twilight,14.0,20,vault card show,2026-04-01 12:00:00,2026-06-28 13:26:00
articuno,card,crown zenith,7.0,10,vault card show,2026-04-01 12:00:00,2026-06-28 13:28:00
charmander,card,promo,52.5,75,vault card show,2026-04-01 12:00:00,2026-06-28 13:44:00
az's tranquility,card,chaos rising,38.5,55,vault card show,2026-04-01 12:00:00,2026-06-28 14:33:00
mega greninja,card,chaos rising,17.5,25,vault card show,2026-04-01 12:00:00,2026-06-28 14:33:00
skwovet,card,paldean fates,3.5,5,vault card show,2026-04-01 12:00:00,2026-06-28 14:34:00
samurott,graded card,black white,45.5,65,vault card show,2026-04-01 12:00:00,2026-06-28 15:06:00
deerling,card,black white,24.5,35,vault card show,2026-04-01 12:00:00,2026-06-28 15:06:00
crobat,card,chaos rising,3.5,5,vault card show,2026-04-01 12:00:00,2026-06-28 15:06:00
khang,card,black white,25.0,35,vault card show,2026-04-01 12:00:00,2026-06-28 15:06:00
leafeon,graded card,hidden fates,210.0,300,vault card show,2026-04-01 12:00:00,2026-06-28 16:15:00
groudon jp,graded card,paradox rift,105.0,150,vault card show,2026-04-01 12:00:00,2026-06-28 16:17:00
farigiraf,card,paldea evolved,14.0,20,vault card show,2026-04-01 12:00:00,2026-06-28 16:34:00
rotom,card,champions path,8.399999999999999,12,vault card show,2026-04-01 12:00:00,2026-06-28 16:34:00
meditite,card,steller crown,9.799999999999999,14,vault card show,2026-04-01 12:00:00,2026-06-28 17:05:00
gardevoir,card,silver tempest,7.699999999999999,11,the layover show,2026-04-01 12:00:00,2026-07-05 11:25:00
glaceon,card,,2.8,4,the layover show,2026-04-01 12:00:00,2026-07-05 11:49:00
slurpuff,card,ascended heroes,9.1,13,the layover show,2026-04-01 12:00:00,2026-07-05 12:00:00
falinks,card,champions path,2.0999999999999996,3,the layover show,2026-04-01 12:00:00,2026-07-05 12:15:00
moltres,card,promo,21.0,30,the layover show,2026-04-01 12:00:00,2026-07-05 12:15:00
comfey,card,crown zenith,3.5,5,the layover show,2026-04-01 12:00:00,2026-07-05 12:22:00
thievul,card,crown zenith,4.8999999999999995,7,the layover show,2026-04-01 12:00:00,2026-07-05 12:22:00
charmander,card,first partner,37.099999999999994,53,the layover show,2026-04-01 12:00:00,2026-07-05 12:22:00
squirtle,card,first partner,28.7,41,the layover show,2026-04-01 12:00:00,2026-07-05 12:22:00
fezandipiti,card,shrouded fable,15.399999999999999,22,the layover show,2026-04-01 12:00:00,2026-07-05 12:27:00
snorlax jp,card,151,15.399999999999999,22,the layover show,2026-04-01 12:00:00,2026-07-05 13:01:00
mega gardevoir,card,promo,14.0,20,the layover show,2026-04-01 12:00:00,2026-07-05 13:01:00
clive,card,paldean fates,24.5,35,the layover show,2026-04-01 12:00:00,2026-07-05 13:06:00
tatsugiri,card,twilight,18.9,27,the layover show,2026-04-01 12:00:00,2026-07-05 13:06:00
forest of vitality,card,perfect order,7.0,10,the layover show,2026-04-01 12:00:00,2026-07-05 13:09:00
fidough,card,scarlet violet,28.0,40,the layover show,2026-04-01 12:00:00,2026-07-05 13:25:00
mimikyu jp,card,brilliant stars,38.5,55,the layover show,2026-04-01 12:00:00,2026-07-05 13:54:00
mega rayquaza,card,celebrations,400.0,410,the layover show,2026-04-01 12:00:00,2026-07-05 14:02:00
nidoking jp,card,151,9.1,13,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
vikavolt,card,ascended heroes,3.5,5,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
cleffa,card,obsidian flames,42.0,60,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
articuno,card,journey,19.599999999999998,28,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
ivysaur,card,mega,15.399999999999999,22,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
arceus,card,brilliant stars,16.799999999999997,24,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
rookidee,card,paldea evolved,11.2,16,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
nidoking,card,,7.0,10,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
tropius jp,card,triple beat,4.8999999999999995,7,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
charizard,card,151,420.0,600,the layover show,2026-04-01 12:00:00,2026-07-05 14:02:00
pikachu,card,promo,217.0,310,the layover show,2026-04-01 12:00:00,2026-07-05 14:02:00
growlithe ,card,crimson,10.5,15,the layover show,2026-04-01 12:00:00,2026-07-05 13:06:00
rueniclus,card,promo,4.199999999999999,6,the layover show,2026-04-01 12:00:00,2026-07-05 13:06:00
